Date,Type,Symbol,Description,Quantity,Price,Amount,Account Type
2025-01-05,deposit,,EFT Deposit,0,0,5000.00,TFSA
2025-01-06,buy,SHOP,Shopify Inc Class A,30,125.50,-3765.00,TFSA
2025-01-06,buy,CNR,Canadian National Railway,15,168.00,-2520.00,TFSA
2025-01-10,buy,VFV,Vanguard S&P 500 Index ETF,20,115.80,-2316.00,FHSA
2025-01-15,deposit,,EFT Deposit,0,0,2000.00,FHSA
2025-01-20,buy,VDY,Vanguard FTSE Canadian High Div Yield,30,42.50,-1275.00,FHSA
2025-02-01,dividend,VDY,Vanguard FTSE Canadian High Div Yield,0,0,15.60,FHSA
2025-02-01,dividend,CNR,Canadian National Railway,0,0,11.25,TFSA
2025-02-10,sell,SHOP,Shopify Inc Class A,15,138.00,2070.00,TFSA
2025-02-15,buy,TD,Toronto-Dominion Bank,20,82.30,-1646.00,TFSA
2025-02-20,deposit,,EFT Deposit,0,0,667.00,FHSA
2025-02-25,buy,VFV,Vanguard S&P 500 Index ETF,5,118.20,-591.00,FHSA
2025-03-01,dividend,VFV,Vanguard S&P 500 Index ETF,0,0,8.75,FHSA
2025-03-01,dividend,TD,Toronto-Dominion Bank,0,0,19.60,TFSA
2025-03-05,buy,NVDA,NVIDIA Corporation CDR,10,28.50,-285.00,TFSA
2025-03-10,sell,CNR,Canadian National Railway,5,172.50,862.50,TFSA
2025-03-15,deposit,,EFT Deposit,0,0,1500.00,TFSA
2025-03-20,buy,ENB,Enbridge Inc,25,57.80,-1445.00,TFSA
2025-03-25,buy,RESP,BMO S&P 500 Index ETF,15,78.00,-1170.00,RESP
